"GEOID","PopulationValue","CENTLAT","CENTLON"
200019526001,1791,37.8737508,-95.2036636
200019527001,1052,37.9871877,-95.380907
200019527002,957,37.907415,-95.3446262
200019528001,1179,37.9424395,-95.420724
200019528002,1541,37.9475207,-95.3813795
200019528003,1093,37.9262786,-95.3986812
200019529001,1001,37.9134426,-95.4168713
200019529002,591,37.9196268,-95.3938351
200019529003,638,37.8883365,-95.400285
200019530003,582,37.8107387,-95.4374747
200019530001,743,37.8335585,-95.4531189
200019530002,675,37.8231983,-95.4331958
200019530004,683,37.7966495,-95.4321885
200039536003,721,38.2772784,-95.2563786
200039536001,1831,38.319224,-95.1998269
200039536002,686,38.2847034,-95.2557027
200039536004,1713,38.2786539,-95.2337573
200039537001,1086,38.2766978,-95.4119731
200039537002,935,38.0996753,-95.3617663
200039537003,864,38.1647711,-95.1636353
200050816001,924,39.5586414,-95.4808124
200050816002,773,39.4933339,-95.4261077
200050816004,972,39.4589668,-95.1418525
200050816003,600,39.6161856,-95.2422027
200050816005,948,39.5023425,-95.3065958
200050817013,911,39.5673933,-95.1379322
200050817011,1823,39.5797878,-95.1733621
200050817012,1052,39.5786439,-95.1321713
200050817021,2602,39.5959397,-95.0860036
200050818002,783,39.5269797,-95.1148494
200050818001,768,39.5363587,-95.1712885
200050818003,1154,39.5478044,-95.1173792
200050819002,755,39.5696609,-95.1260127
200050819001,998,39.561688,-95.1261141
200050819003,577,39.5658843,-95.1255613
200050819004,708,39.5679745,-95.1177714
200079681001,891,37.3116343,-98.5697279
200079681002,1046,37.2680906,-98.5853523
200079681003,787,37.3668892,-98.6890934
200079682001,834,37.1336062,-98.78409
200079682002,670,37.1299336,-98.4574782
200099711001,1633,38.4943717,-98.5963972
200099711002,1001,38.3559838,-98.5571048
200099711003,1082,38.3632286,-98.5922049
200099712001,755,38.580312,-98.8958016
200099712002,757,38.3523568,-98.9549278
200099713002,1666,38.5001009,-98.756931
200099713001,1421,38.5015314,-98.8046036
200099714001,1171,38.3835601,-98.7652444
200099714002,1276,38.3724859,-98.7650655
200099715001,1241,38.3835154,-98.7930699
200099715002,1045,38.3701938,-98.8011664
200099715003,1057,38.3570004,-98.8032093
200099716001,890,38.3735236,-98.7790264
200099716002,814,38.3734568,-98.7882286
200099716003,1231,38.3680095,-98.7835602
200099716004,992,38.3591177,-98.7840299
200099717001,1399,38.3628322,-98.7606305
200099717002,1266,38.3619645,-98.7698031
200099718011,1080,38.3993501,-98.7375645
200099718012,791,38.2998114,-98.7675921
200099718013,1251,38.3585426,-98.7481389
200099718014,1674,38.3779894,-98.840067
200119556001,819,37.9428985,-94.9835578
200119556002,942,37.9647579,-94.6795988
200119556003,886,37.9581252,-94.8280109
200119557001,1240,37.8114204,-94.9374547
200119557002,965,37.7211393,-94.8377383
200119558001,1793,37.8314672,-94.7469485
200119558002,879,37.836081,-94.7138399
200119558003,861,37.822006,-94.7108321
200119559001,1042,37.83858,-94.6821401
200119559002,1182,37.8190038,-94.6854168
200119559003,1100,37.8276382,-94.6581078
200119560001,643,37.841775,-94.7081581
200119560002,1022,37.8332364,-94.6999654
200119560003,986,37.8286222,-94.7064909
200134806002,923,39.7372018,-95.6963842
200134806001,1047,39.8995608,-95.7148717
200134806003,816,39.9426127,-95.5033312
200134807001,1376,39.8700847,-95.5365072
200134807002,581,39.852957,-95.5358287
200134807003,1628,39.8526888,-95.5451198
200134808001,556,39.8171712,-95.4196341
200134808003,1094,39.6714848,-95.5107433
200134808002,902,39.7217679,-95.4922362
200134808004,585,39.6674554,-95.5370354
200150201011,1164,38.0156574,-96.8794342
200150201012,1108,37.9201055,-96.647643
200150201021,1197,37.80367,-96.8191562
200150201022,678,37.7595536,-96.7705956
200150201024,808,37.645216,-96.6289396
200150201023,812,37.689023,-96.7973982
200150202041,935,37.7047395,-96.9622686
200150202042,1408,37.722004,-96.9616281
200150202043,971,37.6915344,-97.0084149
200150202051,1049,37.6976596,-96.9152387
200150202052,2143,37.7326571,-96.8507018
200150202053,968,37.8197339,-96.9008309
200150202062,1264,37.6873268,-97.1489864
200150202061,2031,37.6862232,-97.1402988
200150202063,1165,37.6865977,-97.1227027
200150202072,1666,37.7158355,-97.1393853
200150202071,1185,37.7002623,-97.1430286
200150202073,1046,37.7132073,-97.1485021
200150202081,1459,37.7010856,-97.1256754
200150202082,1833,37.7258181,-97.131869
200150202092,1238,37.7126077,-97.0821079
200150202091,675,37.6869105,-97.0619895
200150202102,991,37.6648755,-97.1441606
200150202101,1582,37.6721508,-97.1261166
200150202103,690,37.6642373,-97.0854856
200150203001,1560,37.8340174,-96.8441233
200150203002,1261,37.8294691,-96.8547557
200150203003,918,37.8610418,-96.8401127
200150204001,1074,37.818138,-96.8498373
200150204002,1151,37.8095559,-96.8567738
200150205001,1552,37.821062,-96.8684459
200150205002,1276,37.817643,-96.8881329
200150205003,1481,37.813751,-96.8706926
200150205004,1004,37.8065184,-96.8709863
200150206011,1627,37.7675409,-97.107507
200150206012,1487,37.7929174,-96.9979094
200150206013,1324,37.769619,-96.9944638
200150206021,1984,37.9341898,-97.0426219
200150206022,1126,37.8345282,-97.0475321
200150207001,1358,37.6950266,-96.9612238
200150207002,1363,37.7077598,-96.9809107
200150207003,1278,37.6908229,-96.9767076
200150208001,1196,37.6834604,-96.9724976
200150208002,1717,37.6777723,-96.9767118
200150209011,1192,37.6061101,-96.8615668
200150209012,1400,37.605789,-97.0595431
200150209013,1551,37.6212631,-97.1349891
200150209021,1490,37.5557938,-97.1348533
200150209022,960,37.5776332,-97.1439946
200150209023,1544,37.5776644,-97.1260249
200150209032,1280,37.515142,-97.0168293
200150209031,1166,37.5173662,-97.0869627
200150209033,994,37.5191258,-96.8617905
200179606001,789,38.4492997,-96.4565699
200179606002,907,38.2781023,-96.6160302
200179606003,876,38.3718649,-96.5420287
200199646003,1425,37.119844,-96.1821453
200199646001,1060,37.1413412,-96.3765666
200199646002,894,37.1650273,-96.089556
200219581001,986,37.2636924,-94.83127
200219581002,825,37.3174315,-94.7869575
200219581003,786,37.2567706,-94.6817308
200219582001,1092,37.1697997,-94.9893986
200219582002,809,37.0684626,-94.8345518
200219583003,744,37.1669076,-94.8556376
200219583001,1133,37.1709226,-94.830811
200219583002,805,37.1750203,-94.8559472
200219583004,903,37.1712176,-94.83869
200219584001,1784,37.1334796,-94.6970437
200219584002,803,37.0628765,-94.7036437
200219584003,1019,37.0237344,-94.6756667
200219585001,1103,37.0952176,-94.6488399
200219585002,564,37.0779867,-94.6267598
200219585003,669,37.0655562,-94.6287113
200219585004,1143,37.0540857,-94.6432774
200219586001,1086,37.0425173,-94.7477552
200219586004,839,37.0164345,-94.7327169
200219586002,729,37.0145795,-94.7581644
200219586003,744,37.0239985,-94.7351314
200219586005,796,37.0076673,-94.7267705
200239502001,814,39.7776104,-101.8074928
200239502002,768,39.7959616,-101.570376
200239502003,1034,39.7758024,-101.8859164
200259671001,1100,37.3371463,-99.8099102
200259671002,891,37.1076404,-99.833272
200274581003,1162,39.2168059,-97.0092533
200274581001,624,39.5160872,-97.1805024
200274581002,1089,39.3945544,-97.1523141
200274581004,757,39.2288038,-97.2112742
200274582003,957,39.3752858,-97.1152244
200274582001,1424,39.3949149,-97.0994225
200274582002,941,39.393851,-97.145763
200274582004,1163,39.3667333,-97.1152289
200299771002,1488,39.4708454,-97.5146582
200299771001,757,39.5978387,-97.4059077
200299772002,1121,39.5639806,-97.6208658
200299772001,1094,39.5674044,-97.6523091
200299773001,681,39.5714144,-97.6685979
200299773002,679,39.5635973,-97.6609841
200299773003,926,39.5634418,-97.6731628
200299773004,891,39.5626768,-97.6818503
200299774001,616,39.5754565,-97.8007519
200299774002,779,39.4013147,-97.7979069
200319661001,1063,38.390447,-95.6185089
200319661002,1490,38.1931643,-95.6251873
200319662001,694,38.1127141,-95.8589868
200319662002,819,38.2639322,-95.8389631
200319662003,1341,38.3695499,-95.8505645
200319663001,1198,38.2128822,-95.7627527
200319663002,804,38.1687451,-95.7445224
200319663003,951,38.1712257,-95.7833118
200339676001,724,37.2664381,-99.3275461
200339676002,965,37.188919,-99.2701659
200354931001,1253,37.3584133,-96.6632445
200354931002,1282,37.1326224,-96.7244838
200354932001,1332,37.3779194,-96.9491132
